菜品名称,食堂,标签
小炒豆腐,公三食堂,主食
小炒鸡,"公一食堂,公二食堂,公三食堂",主食
小炒千叶豆腐,公一食堂,主食
小炒茄丁,公三食堂,主食
小炒西蓝花,清真食堂,主食
小炒鸭胸,公三食堂,主食
小炒有机花菜炒饼,研二食堂,主食
小炒鱼豆腐炒饼,研二食堂,主食
小炒猪头肉,公一食堂,主食
小吊梨汤,公一食堂,饮品
小龙虾,公二食堂,主食
小馒头,公二食堂,早餐
小米南瓜枸杞粥,研二食堂,早餐
小米粥,公一食堂,早餐
小米粥,公二食堂,早餐
小米粥,公三食堂,早餐
小酥肉,公二食堂,小吃
杏鲍菇排骨,公二食堂,主食
杏鲍菇培根,公二食堂,主食
血糯米红豆奶茶,公二食堂,饮品
鸭血粉丝汤,公三食堂,饮品
亚麻子馕,清真食堂,主食
盐焗鸡腿,公三食堂,主食
扬州炒饭,"公一食堂,研二食堂",主食
羊肚,公三食堂,主食
羊排炖土豆,清真食堂,主食
羊肉,公三食堂,主食
羊肉串,"公二食堂,清真食堂",小吃
羊肉胡萝卜水饺,公三食堂,早餐
羊肉泡馍,公三食堂,主食
羊肉泡馍,清真食堂,主食
羊肉手抓饭,公三食堂,主食
羊汤,公三食堂,主食
羊汤方便面,公三食堂,主食
羊汤粉丝,公三食堂,主食
羊汤烩面,公三食堂,主食
羊汤米粉,公三食堂,主食
羊汤水晶粉,公三食堂,主食
羊汤玉米粉,公三食堂,主食
羊头肉,公三食堂,主食
羊杂,公三食堂,主食
阳春面,研二食堂,主食
腰果西芹炒虾仁,公一食堂,主食
椰蓉面包,公三食堂,早餐
椰蓉枣泥面包,公三食堂,早餐
椰汁紫米粥,公三食堂,早餐
椰子鸡单人套餐,公二食堂,主食
野山菌煲鸡汤,公二食堂,主食
银耳莲子羹,公三食堂,早餐
银耳汤,公一食堂,饮品
油饼,公一食堂,早餐
油饼,公三食堂,早餐
油泼饺子,研二食堂,主食
油泼面,"公一食堂,公二食堂,研二食堂",主食
油条,"公一食堂,公三食堂",早餐
鱿鱼,公二食堂,小吃
鱿鱼串,研二食堂,小吃
有机菜花,公二食堂,主食
鱼豆腐,公二食堂,小吃
鱼豆腐豆花面,研二食堂,主食
鱼豆腐烩饼,研二食堂,主食
鱼豆腐米粉,研二食堂,主食
鱼豆腐面,研二食堂,主食
鱼豆腐砂锅面,研二食堂,主食
鱼排,公一食堂,小吃
鱼头渔粉,研二食堂,主食
鱼丸豆花面,研二食堂,主食
鱼丸烩饼,研二食堂,主食
鱼丸砂锅面,研二食堂,主食
鱼香茄条,公一食堂,主食
鱼香茄子盖饭,研二食堂,主食
鱼香茄子煎蛋,公三食堂,主食
鱼香肉丝,"公二食堂,公三食堂",主食
鱼香肉丝炒饼,研二食堂,主食
鱼香肉丝盖饭,研二食堂,主食
鱼香肉丝砂锅饭,研二食堂,主食
玉米饼,公一食堂,早餐
玉米肠炒饭,公三食堂,主食
玉米肠粉,公一食堂,主食
玉米发糕,公一食堂,早餐
玉米粒水饺,公三食堂,早餐
玉米面菜团,公三食堂,早餐
玉米面发糕,公三食堂,主食
玉米排骨,公二食堂,主食
原味大鸡排,公三食堂,主食
原味手抓饼,公三食堂,早餐
原味渔粉,研二食堂,主食
圆馒头,公二食堂,早餐
云吞面,"公二食堂,研二食堂",早餐
杂菌排骨,公三食堂,主食
杂粮饭,公二食堂,早餐
杂粮粥,公三食堂,早餐
早餐面,公一食堂,早餐
枣糕,公三食堂,主食
炸酱面,"公一食堂,公二食堂,公三食堂",主食
炸韭菜盒子,公三食堂,主食
章鱼小丸子,公二食堂,小吃
招牌麻辣烫系列,研二食堂,主食
招牌渔粉,研二食堂,主食
照烧鸡排,公三食堂,主食
蒸鸡蛋羹,公一食堂,主食
蒸鸡胸肉,公一食堂,主食
蒸饺,公二食堂,早餐
蒸素菜,公二食堂,主食
蒸玉米,公二食堂,早餐
蒸杂粮,公一食堂,主食
芝麻鸡块,公二食堂,小吃
芝麻馕,清真食堂,主食
芝士大鸡排,公三食堂,主食
芝士蛋糕,公三食堂,早餐
芝士煎饼,公三食堂,早餐
芝士拉丝棒,公一食堂,小吃
重庆辣子鸡,公一食堂,主食
重庆小面,公二食堂,主食
猪肉白菜,公二食堂,早餐
猪肉白菜饺子,公一食堂,主食
猪肉白菜饺子,研二食堂,主食
猪肉白菜水饺,公三食堂,早餐
猪肉肠粉,公一食堂,主食
猪肉大葱包,公三食堂,早餐
猪肉大葱饺子,研二食堂,主食
猪肉大葱水饺,公三食堂,早餐
猪肉胡萝卜饺子,公一食堂,主食
猪肉茴香,研二食堂,主食
猪肉茴香饺子,公一食堂,主食
猪肉茴香水饺,公三食堂,早餐
猪肉韭菜,公二食堂,主食
猪肉韭菜饺子,公一食堂,主食
猪肉韭菜水饺,公三食堂,早餐
猪肉韭菜虾仁饺子,研二食堂,主食
猪肉韭菜馅饼,公三食堂,主食
猪肉莲藕饺子,公一食堂,主食
猪肉面,公三食堂,主食
猪肉芹菜饺子,研二食堂,主食
猪肉三鲜水饺,公三食堂,早餐
猪肉香菇饺子,研二食堂,主食
猪肉香菇水饺,公三食堂,早餐
猪肉小白菜,公二食堂,主食
猪肉玉米饺子,研二食堂,主食
猪手花生汤,公一食堂,饮品
猪头肉炒饭、饼,公三食堂,主食
孜然培根鸡蛋炒饭,研二食堂,主食
孜然亲亲肠,公三食堂,主食
孜然肉片盖饭,研二食堂,主食
孜然鸭丁,"公一食堂,公三食堂",主食
孜然鸭片,公三食堂,主食
滋补鸡丝汤面,研二食堂,主食
紫米饼,公一食堂,早餐
紫米花卷,公一食堂,早餐
紫米馒头,公一食堂,早餐
紫米面发糕,公三食堂,主食
紫米面馒头,公三食堂,早餐
紫米粥,"公三食堂,公一食堂",早餐
紫薯包,"公三食堂,公二食堂",早餐
紫薯饼,公一食堂,早餐
紫薯面包,公三食堂,早餐
紫薯粥,公一食堂,早餐
